reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,sentiment,case_folding,clean,token,normalization,normalization_join,stemming,cleaning
dcee9bf5-4d3f-4de2-9ca0-3543f1f09686,Priatmo Nur Subagyo,https://play-lh.googleusercontent.com/a-/ALV-UjXj0-OaDQ4Plrw1n2xXl_Hjo2nXCMZPUu89VNTuSAJkX3IneZlj,"Mantap, pelayanan yang sangat istimewa seperti Jogja... ...orang jogja wajib pakai JogjaKita... Love Jogja and aLL oF YoU...",5,0,6.7.0,2024-05-10 14:55:58,,,6.7.0,positive,"mantap, pelayanan yang sangat istimewa seperti jogja... ...orang jogja wajib pakai jogjakita... love jogja and all of you...",mantap pelayanan yang sangat istimewa seperti jogja orang jogja wajib pakai jogjakita love jogja and all of you ,"['mantap', 'pelayanan', 'yang', 'sangat', 'istimewa', 'seperti', 'jogja', 'orang', 'jogja', 'wajib', 'pakai', 'jogjakita', 'love', 'jogja', 'and', 'all', 'of', 'you']","['mantap', 'pelayanan', 'yang', 'sangat', 'istimewa', 'seperti', 'jogja', 'orang', 'jogja', 'wajib', 'pakai', 'jogjakita', 'suka', 'jogja', 'and', 'all', 'of', 'you']",mantap pelayanan yang sangat istimewa seperti jogja orang jogja wajib pakai jogjakita suka jogja and all of you,"['mantap', 'layanan', 'yang', 'sangat', 'istimewa', 'seperti', 'jogja', 'orang', 'jogja', 'wajib', 'pakai', 'jogjakita', 'suka', 'jogja', 'and', 'all', 'of', 'you']",mantap layanan yang sangat istimewa seperti jogja orang jogja wajib pakai jogjakita suka jogja and all of you
0905d154-20f7-4581-898d-e3589486fe25,hasan mukmin,https://play-lh.googleusercontent.com/a-/ALV-UjXz9LpOw_3tBOx35Ugqg1MBtXINmAUZLKa-LbvVVXXxyH4GpU8,Sukses terus buat jogjakita,5,0,6.6.0,2024-05-03 16:00:30,,,6.6.0,positive,sukses terus buat jogjakita,sukses terus buat jogjakita,"['sukses', 'terus', 'buat', 'jogjakita']","['sukses', 'terus', 'buat', 'jogjakita']",sukses terus buat jogjakita,"['sukses', 'terus', 'buat', 'jogjakita']",sukses terus buat jogjakita
ad5ce7d7-e410-4e89-afd1-a03dcd73840f,randa saputra,https://play-lh.googleusercontent.com/a/ACg8ocL1us1JuO18IghtYQzU_W4wHDDeLs8pO_y8_uQh0Rpftfmp0A=mo,Setiap naik jogja kita motor nya tua tua semua yang aku naikin supra/shogun😌,2,0,6.6.0,2024-05-03 11:26:05,,,6.6.0,negative,setiap naik jogja kita motor nya tua tua semua yang aku naikin supra/shogun😌,setiap naik jogja kita motor nya tua tua semua yang aku naikin supra shogun ,"['setiap', 'naik', 'jogja', 'kita', 'motor', 'nya', 'tua', 'tua', 'semua', 'yang', 'aku', 'naikin', 'supra', 'shogun']","['setiap', 'naik', 'jogjakita', 'motor', 'nya', 'tua', 'tua', 'semua', 'yang', 'aku', 'naikkan', 'supra', 'shogun']",setiap naik jogjakita motor nya tua tua semua yang aku naikkan supra shogun,"['tiap', 'naik', 'jogjakita', 'motor', 'nya', 'tua', 'tua', 'semua', 'yang', 'aku', 'naik', 'supra', 'shogun']",tiap naik jogjakita motor nya tua tua semua yang aku naik supra shogun
189dec0d-c81a-46b2-a74c-9e2d03a9009e,Diaz Sigit,https://play-lh.googleusercontent.com/a/ACg8ocJCcxNI5f0dEu_v6KVYucbDoHBe5rW4sYfoqVmz7HlpIUfydw=mo,pinaringan sehat lancar rejeki pak,5,0,6.6.0,2024-05-01 09:34:28,,,6.6.0,positive,pinaringan sehat lancar rejeki pak,pinaringan sehat lancar rejeki pak,"['pinaringan', 'sehat', 'lancar', 'rejeki', 'pak']","['pinaringan', 'sehat', 'lancar', 'rejeki', 'pak']",pinaringan sehat lancar rejeki pak,"['paring', 'sehat', 'lancar', 'rejeki', 'pak']",paring sehat lancar rejeki pak
eb928f33-c39e-4dfd-93d0-0a211462fbd0,Dyantri Maharani,https://play-lh.googleusercontent.com/a-/ALV-UjU5N7whZsz6S0aZ8jK6dlgPdYNQWDWoaly1h8j5_WjB_ceTGReI,mantap,5,0,6.6.0,2024-04-29 10:08:28,,,6.6.0,positive,mantap,mantap,['mantap'],['mantap'],mantap,['mantap'],mantap
e1d75261-b36d-448b-a75f-eeee08813af0,candra indrawan,https://play-lh.googleusercontent.com/a-/ALV-UjUXlTSXm_6kXeMdpuKxMo4Q5BhGcrKAkdg2OzU7jiJTjEgDDvHJ8A,"Kita seperti dipaksa untuk stay di grub customer, pdhal udah nggak pake jasanya lagi.. haduh",1,0,,2024-04-25 10:55:23,,,,negative,"kita seperti dipaksa untuk stay di grub customer, pdhal udah nggak pake jasanya lagi.. haduh",kita seperti dipaksa untuk stay di grub customer pdhal udah nggak pake jasanya lagi haduh,"['kita', 'seperti', 'dipaksa', 'untuk', 'stay', 'di', 'grub', 'customer', 'pdhal', 'udah', 'nggak', 'pake', 'jasanya', 'lagi', 'haduh']","['kita', 'seperti', 'dipaksa', 'untuk', 'stay', 'di', 'grub', 'customer', 'padahal', 'sudah', 'tidak', 'pakai', 'jasanya', 'lagi', 'aduh']",kita seperti dipaksa untuk stay di grub customer padahal sudah tidak pakai jasanya lagi aduh,"['kita', 'seperti', 'paksa', 'untuk', 'stay', 'di', 'grub', 'customer', 'padahal', 'sudah', 'tidak', 'pakai', 'jasa', 'lagi', 'aduh']",kita seperti paksa untuk stay di grub customer padahal sudah tidak pakai jasa lagi aduh
4448831e-97c6-4959-8dd5-d603ddc1878c,Sanjaya Iqbal,https://play-lh.googleusercontent.com/a-/ALV-UjXPcX95MSOxdMQ_Y4IDBeQR0oW-vKSo_MEj4fWS-16svkuxJYSd,Aplikasi kntl d suruh bayar pas cari driver pas ngk ad yg mau ngambil tp dana kaga balik anjg,1,0,6.6.0,2024-04-24 17:10:09,,,6.6.0,negative,aplikasi kntl d suruh bayar pas cari driver pas ngk ad yg mau ngambil tp dana kaga balik anjg,aplikasi kntl d suruh bayar pas cari driver pas ngk ad yg mau ngambil tp dana kaga balik anjg,"['aplikasi', 'kntl', 'd', 'suruh', 'bayar', 'pas', 'cari', 'driver', 'pas', 'ngk', 'ad', 'yg', 'mau', 'ngambil', 'tp', 'dana', 'kaga', 'balik', 'anjg']","['aplikasi', 'kontol', 'di', 'suruh', 'bayar', 'pas', 'cari', 'driver', 'pas', 'tidak', 'ada', 'yang', 'mau', 'mengambil', 'tetapi', 'dana', 'tidak', 'balik', 'anjing']",aplikasi kontol di suruh bayar pas cari driver pas tidak ada yang mau mengambil tetapi dana tidak balik anjing,"['aplikasi', 'kontol', 'di', 'suruh', 'bayar', 'pas', 'cari', 'driver', 'pas', 'tidak', 'ada', 'yang', 'mau', 'ambil', 'tetapi', 'dana', 'tidak', 'balik', 'anjing']",aplikasi kontol di suruh bayar pas cari driver pas tidak ada yang mau ambil tetapi dana tidak balik anjing
db9d9abc-3e7f-4862-acf1-6b8c4ce42a3b,Wahyuni Saleh,https://play-lh.googleusercontent.com/a-/ALV-UjUAzqxiuq8hCxLQjz6Q8DLNijM5eURfvAoMjidYgRKE0vEAUJg,Ga rekom,1,0,6.6.0,2024-04-19 13:12:14,,,6.6.0,negative,ga rekom,ga rekom,"['ga', 'rekom']","['tidak', 'rekomendasi']",tidak rekomendasi,"['tidak', 'rekomendasi']",tidak rekomendasi
eefaa365-7387-43d3-8b9a-8b125fc47101,Teddy Permana,https://play-lh.googleusercontent.com/a-/ALV-UjWbg0SPDOcVvnQpskYEPIaPwQ6PZUj0_OXjcUa-99X-BvYAmg4,Aplikasi berat dan buat hp panas terus Driver suka nanget telat!!!.,1,0,6.6.0,2024-04-14 13:07:12,,,6.6.0,negative,aplikasi berat dan buat hp panas terus driver suka nanget telat!!!.,aplikasi berat dan buat hp panas terus driver suka nanget telat ,"['aplikasi', 'berat', 'dan', 'buat', 'hp', 'panas', 'terus', 'driver', 'suka', 'nanget', 'telat']","['aplikasi', 'berat', 'dan', 'buat', 'hp', 'panas', 'terus', 'driver', 'suka', 'banget', 'telat']",aplikasi berat dan buat hp panas terus driver suka banget telat,"['aplikasi', 'berat', 'dan', 'buat', 'hp', 'panas', 'terus', 'driver', 'suka', 'banget', 'telat']",aplikasi berat dan buat hp panas terus driver suka banget telat
672c3f7b-c23e-4d67-a5ca-21ff8181f01e,Erwin Fuziananto,https://play-lh.googleusercontent.com/a-/ALV-UjXDpoOsca6c7GhnXPSxb8pQ79HHz3OpxsFuW1JXmF-TUmlTS0YY,👍🏻,5,0,6.6.0,2024-04-11 13:05:28,,,6.6.0,positive,👍🏻, ,[],[],,[],
